id;type;startTime;endTime;duration;parent;next;previous
http://knowrob.org/kb/knowrob.owl#LookingForSomething_HCBFUPQX;LookingForSomething;1533289929.13471;1533289929.50295;0.368242979;LookingForSomething;VisualPerception;MovingToLocation
http://knowrob.org/kb/knowrob.owl#OpeningAGripper_BCUHWJIY;OpeningAGripper;1533289913.30375;1533289913.57588;0.2721288204;;;BaseMovement
http://knowrob.org/kb/knowrob.owl#LookingForSomething_TNHQUMEC;LookingForSomething;1533289922.16735;1533289922.57997;0.412612915;PuttingDownAnObject;ReleasingGraspOfSomething;MovingToLocation
http://knowrob.org/kb/knowrob.owl#LoweringAnArm_FCGJLIZD;LoweringAnArm;1533289923.34965;1533289923.64592;0.2962679863;ReleasingGraspOfSomething;OpeningAGripper;Reaching
http://knowrob.org/kb/knowrob.owl#OpeningAGripper_YOVKQRTS;OpeningAGripper;1533289944.10718;1533289944.35291;0.2457270622;;BaseMovement;FetchAndDeliver
http://knowrob.org/kb/knowrob.owl#OpeningAGripper_ZVPUBEMO;OpeningAGripper;1533289942.37889;1533289942.48835;0.1094582081;ClosingADrawer;Reaching;
http://knowrob.org/kb/knowrob.owl#VisualPerception_CHTVYIJK;VisualPerception;1533289931.63444;1533289931.83584;0.2014038563;PickingUpAnObject;AcquireGraspOfSomething;LookingForSomething
http://knowrob.org/kb/knowrob.owl#MovingToLocation_ZSJGEVFN;MovingToLocation;1533289941.43015;1533289942.14119;0.711042881;MovingToOperate;ClosingADrawer;
http://knowrob.org/kb/knowrob.owl#VisualPerception_FSUWDXRI;VisualPerception;1533289918.1654;1533289918.37232;0.206923008;PickingUpAnObject;AcquireGraspOfSomething;LookingForSomething
http://knowrob.org/kb/knowrob.owl#Pushing_GLBHRFWX;Pushing;1533289943.24296;1533289943.53494;0.2919850349;ClosingADrawer;Retracting;GRASPING
http://knowrob.org/kb/knowrob.owl#Reaching_GKFPVLNB;Reaching;1533289942.52021;1533289942.88666;0.3664410114;ClosingADrawer;GRASPING;OpeningAGripper
http://knowrob.org/kb/knowrob.owl#BaseMovement_BZWLUOIM;BaseMovement;1533289913.30353;1533289913.68163;0.3780968189;;FetchAndDeliver;LookingAtLocation
http://knowrob.org/kb/knowrob.owl#ClosingAGripper_PVZUBQLR;ClosingAGripper;1533289919.54483;1533289919.74866;0.2038240433;AcquireGraspOfSomething;LiftingAnArm;GRASPING
http://knowrob.org/kb/knowrob.owl#BaseMovement_FBSCYRVH;BaseMovement;1533289921.84228;1533289922.10551;0.2632300854;MovingToLocation;;
http://knowrob.org/kb/knowrob.owl#MovingToLocation_OLVSBDPG;MovingToLocation;1533289937.82826;1533289939.03866;1.210406065;PuttingDownAnObject;LookingForSomething;
http://knowrob.org/kb/knowrob.owl#PuttingDownAnObject_FOVUBLJC;PuttingDownAnObject;1533289920.33687;1533289924.31995;3.9830749035;FetchAndDeliver;;PickingUpAnObject
http://knowrob.org/kb/knowrob.owl#GRASPING_WGHQRSMJ;GRASPING;1533289919.19289;1533289919.50863;0.3157432079;AcquireGraspOfSomething;ClosingAGripper;Reaching
http://knowrob.org/kb/knowrob.owl#MovingToLocation_YHCZDXQB;MovingToLocation;1533289924.87033;1533289925.58282;0.7124838829;MovingToOperate;OpeningADrawer;
http://knowrob.org/kb/knowrob.owl#LiftingAnArm_MXGSKQZT;LiftingAnArm;1533289933.26712;1533289933.65609;0.3889670372;AcquireGraspOfSomething;;ClosingAGripper
http://knowrob.org/kb/knowrob.owl#LookingAtLocation_QPGIMZBO;LookingAtLocation;1533289917.9233;1533289918.10729;0.1839921474;LookingForSomething;;
http://knowrob.org/kb/knowrob.owl#LookingAtLocation_KOEWYRND;LookingAtLocation;1533289913.31976;1533289913.59998;0.2802200317;;BaseMovement;BaseMovement
http://knowrob.org/kb/knowrob.owl#LoweringAnArm_FVRGPBDE;LoweringAnArm;1533289940.18788;1533289940.49824;0.3103539944;ReleasingGraspOfSomething;OpeningAGripper;Reaching
http://knowrob.org/kb/knowrob.owl#Retracting_EZOSHRDP;Retracting;1533289940.75451;1533289941.11186;0.3573491573;ReleasingGraspOfSomething;;OpeningAGripper
http://knowrob.org/kb/knowrob.owl#Reaching_NBQWFVYK;Reaching;1533289939.84298;1533289940.15698;0.3139929771;ReleasingGraspOfSomething;LoweringAnArm;
http://knowrob.org/kb/knowrob.owl#BaseMovement_TZURBNOH;BaseMovement;1533289930.94686;1533289931.16676;0.2199089527;MovingToLocation;;
http://knowrob.org/kb/knowrob.owl#LookingAtLocation_LTRJOMNF;LookingAtLocation;1533289922.35851;1533289922.55008;0.1915698051;LookingForSomething;;
http://knowrob.org/kb/knowrob.owl#LookingAtLocation_BLFJHEMK;LookingAtLocation;1533289944.10741;1533289944.34346;0.2360451221;;;FetchAndDeliver
http://knowrob.org/kb/knowrob.owl#ClosingAGripper_QOVCXMUW;ClosingAGripper;1533289926.79444;1533289926.93757;0.143130064;OpeningADrawer;Pulling;GRASPING
http://knowrob.org/kb/knowrob.owl#SettingAGripper_PRTLZFXN;SettingAGripper;1533289925.93662;1533289926.11965;0.183024168;OpeningADrawer;Reaching;
http://knowrob.org/kb/knowrob.owl#BaseMovement_DHYPNWSO;BaseMovement;1533289928.83849;1533289929.07019;0.2316961288;MovingToLocation;;
http://knowrob.org/kb/knowrob.owl#LookingForSomething_GBLNMQTD;LookingForSomething;1533289915.96008;1533289916.34846;0.3883810043;LookingForSomething;VisualPerception;MovingToLocation
http://knowrob.org/kb/knowrob.owl#LookingAtLocation_PQBOLZRK;LookingAtLocation;1533289929.29251;1533289929.47262;0.180107832;LookingForSomething;;
http://knowrob.org/kb/knowrob.owl#OpeningADrawer_XLGITWPO;OpeningADrawer;1533289925.83581;1533289927.77999;1.9441790581;MovingToOperate;;MovingToLocation
http://knowrob.org/kb/knowrob.owl#LookingForSomething_RFZTGSCO;LookingForSomething;1533289939.06849;1533289939.45661;0.3881220818;PuttingDownAnObject;ReleasingGraspOfSomething;MovingToLocation
http://knowrob.org/kb/knowrob.owl#ReleasingGraspOfSomething_EZHWDMFQ;ReleasingGraspOfSomething;1533289922.77154;1533289924.29196;1.5204238892;PuttingDownAnObject;;LookingForSomething
http://knowrob.org/kb/knowrob.owl#FetchAndDeliver_ZMOHREKN;FetchAndDeliver;1533289913.71015;1533289924.35136;10.641201973;;FetchAndDeliver;BaseMovement
http://knowrob.org/kb/knowrob.owl#PickingUpAnObject_QFGITRJE;PickingUpAnObject;1533289929.91761;1533289933.78382;3.8662090302;FetchAndDeliver;PuttingDownAnObject;LookingForSomething
http://knowrob.org/kb/knowrob.owl#AcquireGraspOfSomething_BTDQMLGY;AcquireGraspOfSomething;1533289932.09558;1533289933.6869;1.5913181305;PickingUpAnObject;;VisualPerception
http://knowrob.org/kb/knowrob.owl#Pulling_YNXWIJPL;Pulling;1533289926.96783;1533289927.25919;0.2913639545;OpeningADrawer;OpeningAGripper;ClosingAGripper
http://knowrob.org/kb/knowrob.owl#BaseMovement_KNPEWHRS;BaseMovement;1533289938.79012;1533289939.00727;0.2171490192;MovingToLocation;;
